data;
set I := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14;
set J := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29;
param F := 0 26780 1 21766 2 10963 3 22409 4 10000 5 10000 6 10000 7 10000 8 10000 9 10000 10 10000 11 17209 12 16821 13 10000 14 10000;
param Cap := 0 660 1 911 2 1451 3 879 4 1500 5 1500 6 1500 7 1500 8 1500 9 1500 10 1500 11 1139 12 1158 13 1500 14 1500;
param RC := 0 552 1 592 2 510 3 569 4 548 5 539 6 533 7 537 8 559 9 519 10 510 11 591 12 500 13 593 14 517;
param OC := 0 216 1 193 2 190 3 186 4 184 5 209 6 185 7 183 8 185 9 195 10 205 11 189 12 204 13 197 14 189;
param HC := 0 2.19 1 2.01 2 2.3 3 2.02 4 2.29 5 2.3 6 2.1 7 2.32 8 2.28 9 2.32 10 2.06 11 2.1 12 2.12 13 2.29 14 2.27;
param LT := 0 7 1 13 2 15 3 12 4 13 5 11 6 13 7 8 8 10 9 9 10 13 11 11 12 10 13 9 14 9;
param d := 0 59 1 106 2 118 3 58 4 120 5 42 6 121 7 81 8 132 9 33 10 64 11 56 12 57 13 79 14 53 15 75 16 36 17 83 18 39 19 32 20 38 21 141 22 72 23 50 24 66 25 67 26 95 27 84 28 119 29 81;
param u := 0 41 1 45 2 31 3 38 4 34 5 34 6 50 7 43 8 27 9 36 10 50 11 47 12 39 13 50 14 46 15 49 16 25 17 40 18 33 19 41 20 30 21 44 22 47 23 36 24 43 25 42 26 47 27 32 28 47 29 36;
param K := 1.28;
param TH := 1000;
param TC := 
7 26 168
8 26 153
9 26 130
10 26 128
11 26 60
12 26 67
13 26 124
14 26 132
0 27 13
1 27 41
2 27 103
3 27 46
4 27 142
5 27 158
6 27 152
7 27 168
8 27 155
9 27 133
10 27 121
11 27 72
12 27 75
13 27 121
14 27 150
0 28 17
1 28 33
2 28 112
3 28 53
4 28 147
5 28 167
6 28 161
7 28 173
8 28 161
9 28 140
10 28 123
11 28 82
12 28 84
13 28 126
14 28 159
0 29 12
1 29 59
2 29 87
3 29 49
4 29 148
5 29 142
6 29 137
7 29 173
8 29 158
9 29 135
10 29 133
11 29 65
12 29 73
13 29 128
14 29 134
;
